,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid,Label
21,1173.875,1289.875,187.0,1138.75,553.0,329.625,124.25,1404.5,698.625,1079.375,40.04,42.26,1
22,1452.875,1102.625,307.75,1453.0,513.375,311.625,153.75,1589.625,879.25,778.375,40.36,41.8,1
23,735.25,666.0,101.125,737.875,233.5,176.5,107.75,1219.125,455.0,559.125,39.55,41.07,1
24,1139.125,1018.4375,187.0,1107.625,517.875,282.5,144.5,1604.375,714.75,698.875,42.14,38.48,1
25,864.25,1018.4375,229.0,859.875,379.25,249.5,134.25,1217.375,560.875,698.875,39.59,41.81,1
26,754.375,661.625,141.625,767.875,283.0,209.25,129.25,1191.5,415.125,386.375,41.63,39.77,0
27,1190.125,1010.625,348.0,1187.875,411.5,229.0,100.125,1313.25,661.875,555.375,41.35,39.05,0
28,992.125,1018.4375,105.375,1015.875,355.75,226.375,108.75,1713.875,774.0,698.875,40.36,39.82,0
29,1544.875,980.75,307.375,1535.625,478.125,265.75,96.125,1241.4375,1004.125,669.0,40.86,39.2,0
30,640.25,1161.75,124.875,649.75,257.75,189.625,121.0,1111.625,441.75,732.0,39.29,40.62,0
31,792.0,651.25,411.375,767.125,415.125,257.625,159.875,772.0,397.875,239.25,39.75,39.54,0
32,571.875,732.375,81.375,586.375,207.125,160.625,105.0,936.5,345.625,324.625,39.82,39.15,0
33,1345.375,1129.25,224.25,1335.625,434.25,275.25,143.125,1739.25,858.75,774.125,40.71,36.87,0
34,609.5,1108.75,215.375,605.125,266.125,175.875,113.125,1255.75,431.5,839.125,41.42,35.57,0
35,1163.875,1425.625,228.75,1169.5,384.375,235.125,121.375,1680.125,768.625,1050.25,41.58,38.33,0
36,924.625,1369.5,104.0,944.75,264.25,165.25,83.125,1542.625,604.75,941.75,42.07,37.51,0
37,1671.875,1048.0,392.75,1656.625,319.625,218.6875,159.25,1536.375,1030.5,562.5,39.61,40.9,0
38,739.125,680.25,156.125,735.375,274.125,205.75,139.0,1025.625,430.0,420.375,41.15,37.93,0
39,746.375,964.25,123.875,753.25,262.0,184.5,110.25,984.125,456.0,612.0,40.36,42.32,0
40,1493.25,1326.5,380.875,1483.25,559.75,320.5,150.625,1725.75,1005.75,698.875,41.27,38.18,0
41,1274.75,924.375,233.75,1268.5,438.0,291.625,162.75,1620.625,779.375,714.875,41.65,37.21,0
42,823.125,1263.5,107.125,834.125,270.25,188.25,100.5,1332.0,563.25,1109.875,41.95,37.66,0
43,1108.875,1018.4375,340.75,1106.625,446.75,252.0,128.875,1554.125,752.5,698.875,42.11,37.45,0
44,632.25,1002.625,130.625,640.0,273.375,219.75,148.125,1216.125,426.375,674.75,41.17,39.19,0
